emprestimo_id,cliente_id,agencia_id,produto_id,data_contratacao,valor_contratado,quantidade_parcelas,taxa_mensal,status_emprestimo
500001,10001,101,3,2023-08-09,73692.19,48,0.0338,Ativo
500002,10038,102,3,2022-04-14,96408.43,48,0.0430,Quitado
500003,10075,103,4,2022-02-01,70519.28,24,0.0134,Quitado
500004,10112,104,3,2024-02-20,77899.66,12,0.0282,Em atraso
500005,10149,105,4,2026-08-06,41181.15,12,0.0248,Quitado
500006,10186,106,3,2025-09-02,21219.99,24,0.0377,Ativo
500007,10223,107,4,2021-11-17,52083.68,36,0.0362,Ativo
500008,10260,108,3,2025-04-03,38408.33,12,0.0273,Ativo
500009,10297,109,3,2022-04-17,117841.29,6,0.0097,Ativo
500010,10334,110,3,2022-08-10,61309.88,6,0.0238,Quitado
500011,10371,111,4,2026-01-09,42234.96,36,0.0315,Ativo
500012,10408,112,3,2020-12-08,31225.16,48,0.0367,Ativo
500013,10445,113,3,2022-10-14,4431.05,24,0.0164,Em atraso
500014,10482,114,3,2023-06-05,100296.26,6,0.0410,Quitado
500015,10519,115,3,2021-03-04,44101.51,6,0.0104,Quitado
500016,10556,116,3,2022-09-07,84146.11,12,0.0111,Ativo
500017,10593,117,4,2021-09-24,79835.99,60,0.0229,Quitado
500018,10630,118,4,2025-06-24,53036.23,18,0.0234,Em atraso
500019,10667,119,3,2024-04-25,101986.70,12,0.0439,Ativo
500020,10704,120,3,2023-10-31,51558.66,48,0.0412,Em atraso
500021,10741,101,3,2020-04-19,91836.37,24,0.0359,Quitado
500022,10778,102,4,2021-04-11,60627.79,12,0.0134,Em atraso
500023,10815,103,4,2026-09-28,81730.22,36,0.0139,Quitado
500024,10852,104,4,2021-12-02,36287.47,24,0.0209,Ativo
500025,10889,105,4,2025-07-29,86562.28,36,0.0206,Ativo
500026,10926,106,4,2024-07-20,8599.32,24,0.0363,Quitado
500027,10963,107,4,2022-05-25,23756.92,6,0.0216,Quitado
500028,11000,108,3,2023-12-22,15627.60,18,0.0270,Ativo
500029,11037,109,4,2021-05-28,6636.14,18,0.0362,Em atraso
500030,11074,110,3,2023-04-11,34286.50,36,0.0212,Ativo
500031,11111,111,3,2022-09-04,116813.11,12,0.0207,Ativo
500032,11148,112,4,2020-09-26,99565.22,36,0.0435,Ativo
500033,11185,113,3,2023-08-29,100002.84,60,0.0132,Ativo
500034,11222,114,3,2020-08-06,119396.76,18,0.0123,Ativo
500035,11259,115,3,2022-09-12,54390.39,60,0.0378,Quitado
500036,11296,116,3,2020-11-01,112185.78,6,0.0127,Ativo
500037,11333,117,4,2023-12-14,116447.30,24,0.0152,Ativo
500038,11370,118,4,2023-09-28,76761.28,12,0.0413,Ativo
500039,11407,119,3,2023-12-17,34836.99,48,0.0366,Ativo
500040,11444,120,4,2025-11-19,43269.77,6,0.0368,Em atraso
500041,11481,101,4,2024-10-15,28799.54,12,0.0380,Ativo
500042,11518,102,3,2022-10-24,50274.40,6,0.0113,Ativo
500043,11555,103,3,2022-06-21,73156.63,36,0.0210,Ativo
500044,11592,104,3,2023-07-11,61075.86,36,0.0304,Em atraso
500045,11629,105,3,2026-03-01,17827.26,12,0.0137,Ativo
500046,11666,106,4,2022-07-30,100020.55,36,0.0109,Em atraso
500047,11703,107,4,2025-04-20,4494.77,36,0.0261,Quitado
500048,11740,108,4,2026-05-27,86311.66,6,0.0146,Quitado
500049,11777,109,3,2026-07-29,77815.91,60,0.0164,Em atraso
500050,11814,110,4,2022-02-21,62588.80,6,0.0093,Ativo
500051,11851,111,4,2025-08-01,60312.50,6,0.0329,Ativo
500052,11888,112,4,2024-02-02,117291.88,6,0.0360,Em atraso
500053,11925,113,4,2024-06-26,75836.32,6,0.0430,Ativo
