pagamento_id,emprestimo_id,cliente_id,data_vencimento,data_pagamento,numero_parcela,valor_parcela,status_pagamento
9000001,500001,10001,2025-01-10,,1,1587.15,Pendente
9000002,500001,10001,2025-02-10,2025-02-08,2,1587.15,Pago
9000003,500001,10001,2025-03-10,2025-03-08,3,1587.15,Pago
9000004,500001,10001,2025-04-10,2025-04-08,4,1587.15,Pago
9000005,500001,10001,2025-05-10,2025-05-08,5,1587.15,Pago
9000006,500001,10001,2025-06-10,2025-06-08,6,1587.15,Pago
9000007,500001,10001,2025-07-10,2025-07-08,7,1587.15,Pago
9000008,500001,10001,2025-08-10,2025-08-08,8,1587.15,Pago
9000009,500001,10001,2025-09-10,2025-09-08,9,1587.15,Pago
9000010,500001,10001,2025-10-10,2025-10-08,10,1587.15,Pago
9000011,500002,10038,2025-01-11,2025-01-09,1,2094.87,Pago
9000012,500002,10038,2025-02-11,2025-02-09,2,2094.87,Pago
9000013,500002,10038,2025-03-11,2025-03-09,3,2094.87,Pago
9000014,500002,10038,2025-04-11,2025-04-09,4,2094.87,Pago
9000015,500002,10038,2025-05-11,2025-05-09,5,2094.87,Pago
9000016,500002,10038,2025-06-11,2025-06-09,6,2094.87,Pago
9000017,500002,10038,2025-07-11,2025-07-09,7,2094.87,Pago
9000018,500002,10038,2025-08-11,2025-08-09,8,2094.87,Pago
9000019,500002,10038,2025-09-11,2025-09-09,9,2094.87,Pago
9000020,500002,10038,2025-10-11,2025-10-09,10,2094.87,Pago
9000021,500003,10075,2025-01-12,2025-01-10,1,2977.68,Pago
9000022,500003,10075,2025-02-12,2025-02-10,2,2977.68,Pago
9000023,500003,10075,2025-03-12,2025-03-10,3,2977.68,Pago
9000024,500003,10075,2025-04-12,2025-04-10,4,2977.68,Pago
9000025,500003,10075,2025-05-12,2025-05-10,5,2977.68,Pago
9000026,500003,10075,2025-06-12,2025-06-10,6,2977.68,Pago
9000027,500003,10075,2025-07-12,2025-07-10,7,2977.68,Pago
9000028,500003,10075,2025-08-12,2025-08-10,8,2977.68,Pago
9000029,500003,10075,2025-09-12,2025-09-10,9,2977.68,Pago
9000030,500003,10075,2025-10-12,2025-10-20,10,2977.68,Em atraso
9000031,500004,10112,2025-01-13,2025-01-11,1,6674.70,Pago
9000032,500004,10112,2025-02-13,2025-02-11,2,6674.70,Pago
9000033,500004,10112,2025-03-13,2025-03-11,3,6674.70,Pago
9000034,500004,10112,2025-04-13,2025-04-11,4,6674.70,Pago
9000035,500004,10112,2025-05-13,2025-05-11,5,6674.70,Pago
9000036,500004,10112,2025-06-13,2025-06-11,6,6674.70,Pago
9000037,500004,10112,2025-07-13,2025-07-11,7,6674.70,Pago
9000038,500004,10112,2025-08-13,2025-08-11,8,6674.70,Pago
9000039,500004,10112,2025-09-13,2025-09-11,9,6674.70,Pago
9000040,500004,10112,2025-10-13,2025-10-11,10,6674.70,Pago
9000041,500005,10149,2025-01-14,2025-01-12,1,3516.87,Pago
9000042,500005,10149,2025-02-14,2025-02-12,2,3516.87,Pago
9000043,500005,10149,2025-03-14,2025-03-12,3,3516.87,Pago
9000044,500005,10149,2025-04-14,2025-04-12,4,3516.87,Pago
9000045,500005,10149,2025-05-14,2025-05-12,5,3516.87,Pago
9000046,500005,10149,2025-06-14,2025-06-12,6,3516.87,Pago
9000047,500005,10149,2025-07-14,2025-07-12,7,3516.87,Pago
9000048,500005,10149,2025-08-14,2025-08-12,8,3516.87,Pago
9000049,500005,10149,2025-09-14,2025-09-12,9,3516.87,Pago
9000050,500005,10149,2025-10-14,2025-10-12,10,3516.87,Pago
9000051,500006,10186,2025-01-15,2025-01-13,1,917.50,Pago
9000052,500006,10186,2025-02-15,2025-02-13,2,917.50,Pago
9000053,500006,10186,2025-03-15,2025-03-13,3,917.50,Pago
9000054,500006,10186,2025-04-15,2025-04-13,4,917.50,Pago
9000055,500006,10186,2025-05-15,2025-05-13,5,917.50,Pago
9000056,500006,10186,2025-06-15,2025-06-13,6,917.50,Pago
9000057,500006,10186,2025-07-15,2025-07-13,7,917.50,Pago
9000058,500006,10186,2025-08-15,2025-08-13,8,917.50,Pago
9000059,500006,10186,2025-09-15,2025-09-23,9,917.50,Em atraso
9000060,500006,10186,2025-10-15,2025-10-13,10,917.50,Pago
9000061,500007,10223,2025-01-16,2025-01-14,1,1499.14,Pago
9000062,500007,10223,2025-02-16,2025-02-14,2,1499.14,Pago
9000063,500007,10223,2025-03-16,2025-03-14,3,1499.14,Pago
9000064,500007,10223,2025-04-16,2025-04-14,4,1499.14,Pago
9000065,500007,10223,2025-05-16,2025-05-14,5,1499.14,Pago
9000066,500007,10223,2025-06-16,2025-06-14,6,1499.14,Pago
9000067,500007,10223,2025-07-16,2025-07-14,7,1499.14,Pago
9000068,500007,10223,2025-08-16,2025-08-14,8,1499.14,Pago
9000069,500007,10223,2025-09-16,2025-09-14,9,1499.14,Pago
9000070,500007,10223,2025-10-16,2025-10-14,10,1499.14,Pago
9000071,500008,10260,2025-01-17,2025-01-15,1,3288.07,Pago
9000072,500008,10260,2025-02-17,2025-02-15,2,3288.07,Pago
9000073,500008,10260,2025-03-17,2025-03-15,3,3288.07,Pago
9000074,500008,10260,2025-04-17,2025-04-15,4,3288.07,Pago
9000075,500008,10260,2025-05-17,2025-05-15,5,3288.07,Pago
9000076,500008,10260,2025-06-17,2025-06-15,6,3288.07,Pago
9000077,500008,10260,2025-07-17,2025-07-15,7,3288.07,Pago
9000078,500008,10260,2025-08-17,2025-08-15,8,3288.07,Pago
9000079,500008,10260,2025-09-17,2025-09-15,9,3288.07,Pago
9000080,500008,10260,2025-10-17,2025-10-15,10,3288.07,Pago
9000081,500009,10297,2025-01-18,2025-01-16,1,19830.73,Pago
9000082,500009,10297,2025-02-18,2025-02-16,2,19830.73,Pago
9000083,500009,10297,2025-03-18,2025-03-16,3,19830.73,Pago
9000084,500009,10297,2025-04-18,2025-04-16,4,19830.73,Pago
9000085,500009,10297,2025-05-18,2025-05-16,5,19830.73,Pago
9000086,500009,10297,2025-06-18,2025-06-16,6,19830.73,Pago
9000087,500009,10297,2025-07-18,2025-07-16,7,19830.73,Pago
9000088,500009,10297,2025-08-18,2025-08-26,8,19830.73,Em atraso
9000089,500009,10297,2025-09-18,2025-09-16,9,19830.73,Pago
9000090,500009,10297,2025-10-18,2025-10-16,10,19830.73,Pago
9000091,500010,10334,2025-01-19,2025-01-17,1,10461.51,Pago
9000092,500010,10334,2025-02-19,2025-02-17,2,10461.51,Pago
9000093,500010,10334,2025-03-19,2025-03-17,3,10461.51,Pago
9000094,500010,10334,2025-04-19,2025-04-17,4,10461.51,Pago
9000095,500010,10334,2025-05-19,2025-05-17,5,10461.51,Pago
9000096,500010,10334,2025-06-19,2025-06-17,6,10461.51,Pago
9000097,500010,10334,2025-07-19,2025-07-17,7,10461.51,Pago
9000098,500010,10334,2025-08-19,,8,10461.51,Pendente
9000099,500010,10334,2025-09-19,2025-09-17,9,10461.51,Pago
9000100,500010,10334,2025-10-19,2025-10-17,10,10461.51,Pago
9000101,500011,10371,2025-01-20,2025-01-18,1,1210.15,Pago
9000102,500011,10371,2025-02-20,2025-02-18,2,1210.15,Pago
9000103,500011,10371,2025-03-20,2025-03-18,3,1210.15,Pago
9000104,500011,10371,2025-04-20,2025-04-18,4,1210.15,Pago
9000105,500011,10371,2025-05-20,2025-05-18,5,1210.15,Pago
9000106,500011,10371,2025-06-20,2025-06-18,6,1210.15,Pago
9000107,500011,10371,2025-07-20,2025-07-18,7,1210.15,Pago
9000108,500011,10371,2025-08-20,2025-08-18,8,1210.15,Pago
9000109,500011,10371,2025-09-20,2025-09-18,9,1210.15,Pago
9000110,500011,10371,2025-10-20,2025-10-18,10,1210.15,Pago
9000111,500012,10408,2025-01-21,2025-01-19,1,674.40,Pago
9000112,500012,10408,2025-02-21,2025-02-19,2,674.40,Pago
9000113,500012,10408,2025-03-21,2025-03-19,3,674.40,Pago
9000114,500012,10408,2025-04-21,2025-04-19,4,674.40,Pago
9000115,500012,10408,2025-05-21,2025-05-19,5,674.40,Pago
9000116,500012,10408,2025-06-21,2025-06-19,6,674.40,Pago
9000117,500012,10408,2025-07-21,2025-07-29,7,674.40,Em atraso
9000118,500012,10408,2025-08-21,2025-08-19,8,674.40,Pago
9000119,500012,10408,2025-09-21,2025-09-19,9,674.40,Pago
9000120,500012,10408,2025-10-21,2025-10-19,10,674.40,Pago
9000121,500013,10445,2025-01-22,2025-01-20,1,187.65,Pago
9000122,500013,10445,2025-02-22,2025-02-20,2,187.65,Pago
9000123,500013,10445,2025-03-22,2025-03-20,3,187.65,Pago
9000124,500013,10445,2025-04-22,2025-04-20,4,187.65,Pago
9000125,500013,10445,2025-05-22,2025-05-20,5,187.65,Pago
9000126,500013,10445,2025-06-22,2025-06-20,6,187.65,Pago
9000127,500013,10445,2025-07-22,2025-07-20,7,187.65,Pago
9000128,500013,10445,2025-08-22,2025-08-20,8,187.65,Pago
9000129,500013,10445,2025-09-22,2025-09-20,9,187.65,Pago
9000130,500013,10445,2025-10-22,2025-10-20,10,187.65,Pago
9000131,500014,10482,2025-01-23,2025-01-21,1,17401.40,Pago
9000132,500014,10482,2025-02-23,2025-02-21,2,17401.40,Pago
9000133,500014,10482,2025-03-23,2025-03-21,3,17401.40,Pago
9000134,500014,10482,2025-04-23,2025-04-21,4,17401.40,Pago
9000135,500014,10482,2025-05-23,2025-05-21,5,17401.40,Pago
9000136,500014,10482,2025-06-23,2025-06-21,6,17401.40,Pago
9000137,500014,10482,2025-07-23,2025-07-21,7,17401.40,Pago
9000138,500014,10482,2025-08-23,2025-08-21,8,17401.40,Pago
9000139,500014,10482,2025-09-23,2025-09-21,9,17401.40,Pago
9000140,500014,10482,2025-10-23,2025-10-21,10,17401.40,Pago
9000141,500015,10519,2025-01-24,2025-01-22,1,7426.69,Pago
9000142,500015,10519,2025-02-24,2025-02-22,2,7426.69,Pago
9000143,500015,10519,2025-03-24,2025-03-22,3,7426.69,Pago
9000144,500015,10519,2025-04-24,2025-04-22,4,7426.69,Pago
9000145,500015,10519,2025-05-24,2025-05-22,5,7426.69,Pago
9000146,500015,10519,2025-06-24,2025-07-02,6,7426.69,Em atraso
