transacao_id,cliente_id,agencia_id,produto_id,data_transacao,tipo_transacao,canal,valor,status_transacao
1000001,10001,101,1,2024-04-20,Débito,Caixa Eletrônico,7158.29,
1000002,10018,102,2,2024-07-31,Pagamento,Internet Banking,14577.42,Concluída
1000003,10035,103,3,2022-01-03,Crédito,Caixa Eletrônico,13896.50,Pendente
1000004,10052,104,4,2026-11-27,Pagamento,Aplicativo,13820.83,Concluída
1000005,10069,105,5,2025-01-30,Crédito,Internet Banking,3031.07,Estornada
1000006,10086,106,1,2025-08-09,Débito,Internet Banking,7691.36,Concluída
1000007,10103,107,2,2022-10-25,Débito,Internet Banking,8189.13,Concluída
1000008,10120,108,3,2026-11-29,Débito,Caixa Eletrônico,8061.41,Concluída
1000009,10137,109,4,2024-08-30,Pagamento,Aplicativo,12848.72,Concluída
1000010,10154,110,5,2026-05-07,Pagamento,Internet Banking,4023.04,Pendente
1000011,10171,111,1,2025-01-26,Transferência,Caixa Eletrônico,3069.66,Concluída
1000012,10188,112,2,2022-06-06,Pagamento,Internet Banking,8087.90,Pendente
1000013,10205,113,3,2023-07-30,Crédito,Internet Banking,14942.73,Pendente
1000014,10222,114,4,2022-03-09,Transferência,Caixa Eletrônico,7770.00,Concluída
1000015,10239,115,5,2026-09-04,Transferência,Internet Banking,1477.59,Pendente
1000016,10256,116,1,2023-03-09,Crédito,Cartão,4191.62,Estornada
1000017,10273,117,2,2026-09-24,Débito,Internet Banking,10713.21,Concluída
1000018,10290,118,3,2026-12-08,Transferência,Agência,7635.59,Concluída
1000019,10307,119,4,2022-01-27,Débito,Cartão,7840.85,Pendente
1000020,10324,120,5,2026-11-26,Crédito,Aplicativo,7588.71,Estornada
1000021,10341,101,1,2026-06-18,Crédito,Internet Banking,2080.86,Concluída
1000022,10358,102,2,2022-02-13,Pagamento,Agência,10396.56,Pendente
1000023,10375,103,3,2024-10-09,Crédito,Internet Banking,10284.82,Estornada
1000024,10392,104,4,2023-12-10,Pagamento,Agência,2196.10,Pendente
1000025,10409,105,5,2023-06-06,Transferência,Cartão,14529.55,Concluída
1000026,10426,106,1,2025-02-02,Pagamento,Caixa Eletrônico,11459.46,Concluída
1000027,10443,107,2,2024-02-09,Transferência,Aplicativo,10828.20,Concluída
1000028,10460,108,3,2026-01-20,Débito,Agência,10641.93,Estornada
1000029,10477,109,4,2024-11-20,Transferência,Caixa Eletrônico,7525.23,Concluída
1000030,10494,110,5,2025-09-08,Crédito,Agência,2919.16,Concluída
1000031,10511,111,1,2025-04-05,Pagamento,Internet Banking,4458.38,Pendente
1000032,10528,112,2,2024-06-20,Crédito,Internet Banking,9520.55,Pendente
1000033,10545,113,3,2022-07-27,Crédito,Aplicativo,9933.16,Estornada
1000034,10562,114,4,2026-12-11,Débito,Internet Banking,3421.64,Concluída
1000035,10579,115,5,2023-01-21,Pagamento,Agência,6662.13,Concluída
1000036,10596,116,1,2023-06-17,Transferência,Agência,2461.12,Concluída
1000037,10613,117,2,2023-09-05,Crédito,Aplicativo,12073.82,Estornada
1000038,10630,118,3,2026-11-27,Crédito,Cartão,7911.88,Estornada
1000039,10647,119,4,2026-01-20,Pagamento,Cartão,7811.93,Concluída
1000040,10664,120,5,2022-02-08,Débito,Aplicativo,8512.54,Concluída
1000041,10681,101,1,2024-10-24,Pagamento,Aplicativo,4521.99,Pendente
1000042,10698,102,2,2024-09-20,Débito,Aplicativo,14011.52,Concluída
1000043,10715,103,3,2023-12-18,Pagamento,Internet Banking,6466.27,Concluída
1000044,10732,104,4,2023-01-19,Pagamento,Internet Banking,12001.11,Concluída
1000045,10749,105,5,2024-10-06,Crédito,Internet Banking,2686.80,Pendente
1000046,10766,106,1,2025-06-20,Pagamento,Internet Banking,614.47,Concluída
1000047,10783,107,2,2022-05-11,Débito,Aplicativo,7481.59,Concluída
1000048,10800,108,3,2023-04-05,Transferência,Internet Banking,13736.37,Concluída
1000049,10817,109,4,2023-07-05,Crédito,Agência,4924.80,Concluída
1000050,10834,110,5,2024-06-11,Crédito,Agência,7947.89,Pendente
1000051,10851,111,1,2025-03-31,Transferência,Caixa Eletrônico,9536.86,Concluída
1000052,10868,112,2,2023-03-19,Pagamento,Caixa Eletrônico,12293.85,Concluída
1000053,10885,113,3,2025-11-21,Débito,Aplicativo,631.44,Pendente
1000054,10902,114,4,2022-10-18,Crédito,Cartão,7249.08,Concluída
1000055,10919,115,5,2022-01-10,Débito,Agência,10420.80,Pendente
1000056,10936,116,1,2022-01-10,Transferência,Internet Banking,2767.64,Estornada
1000057,10953,117,2,2024-10-11,Transferência,Caixa Eletrônico,13550.26,Concluída
1000058,10970,118,3,2022-10-14,Crédito,Agência,1708.09,Concluída
1000059,10987,119,4,2026-09-21,Débito,Caixa Eletrônico,2200.49,Concluída
1000060,11004,120,5,2022-05-23,Transferência,Cartão,9159.16,Concluída
1000061,11021,101,1,2024-08-27,Pagamento,Cartão,4342.96,Concluída
1000062,11038,102,2,2022-02-06,Débito,Aplicativo,9339.35,Concluída
1000063,11055,103,3,2023-10-02,Débito,Cartão,7113.56,Concluída
1000064,11072,104,4,2025-05-08,Transferência,Aplicativo,5372.49,Concluída
1000065,11089,105,5,2022-12-30,Transferência,Agência,32.01,Concluída
1000066,11106,106,1,2022-11-23,Débito,Cartão,2054.39,Estornada
1000067,11123,107,2,2025-06-05,Débito,Caixa Eletrônico,13840.41,Concluída
1000068,11140,108,3,2026-04-21,Transferência,Cartão,3395.04,Estornada
1000069,11157,109,4,2022-11-08,Crédito,Internet Banking,11946.35,Pendente
1000070,11174,110,5,2022-07-22,Crédito,Cartão,13911.59,Concluída
1000071,11191,111,1,2023-01-17,Pagamento,Agência,7451.16,Concluída
1000072,11208,112,2,2024-10-05,Débito,Cartão,6186.55,Pendente
1000073,11225,113,3,2026-07-05,Pagamento,Aplicativo,12314.67,Estornada
1000074,11242,114,4,2024-05-11,Transferência,Cartão,5477.51,Concluída
1000075,11259,115,5,2024-04-05,Débito,Cartão,5166.15,Concluída
1000076,11276,116,1,2026-09-16,Transferência,Caixa Eletrônico,6387.67,Concluída
1000077,11293,117,2,2026-02-17,Crédito,Caixa Eletrônico,3479.03,Pendente
1000078,11310,118,3,2022-07-02,Crédito,Internet Banking,4673.17,Concluída
1000079,11327,119,4,2026-01-10,Transferência,Caixa Eletrônico,13817.32,Concluída
1000080,11344,120,5,2024-08-28,Débito,Agência,5778.53,Concluída
1000081,11361,101,1,2023-09-26,Pagamento,Agência,7520.81,Estornada
1000082,11378,102,2,2022-03-08,Pagamento,Aplicativo,13572.37,Concluída
1000083,11395,103,3,2023-06-08,Crédito,Aplicativo,8586.68,Concluída
1000084,11412,104,4,2026-09-13,Pagamento,Agência,4176.17,Concluída
1000085,11429,105,5,2023-12-21,Crédito,Internet Banking,2774.55,Concluída
1000086,11446,106,1,2026-09-18,Crédito,Caixa Eletrônico,14088.05,Concluída
